t, x, v, a, label

0.0000, 0.0000, 0.0000, 10.0000, ACC
0.1000, 0.0500, 1.0000, 10.0000, ACC
0.2000, 0.2000, 2.0000, 10.0000, ACC
0.3000, 0.4500, 3.0000, 10.0000, ACC
0.4000, 0.8000, 4.0000, 10.0000, ACC
0.5000, 1.2500, 5.0000, 10.0000, ACC
0.6000, 1.8000, 6.0000, 10.0000, ACC
0.7000, 2.4500, 7.0000, 10.0000, ACC
0.8000, 3.2000, 8.0000, 10.0000, ACC
0.9000, 4.0500, 9.0000, 10.0000, ACC
1.0000, 5.0000, 10.0000, 10.0000, ACC
1.1000, 6.0500, 11.0000, 10.0000, ACC
1.2000, 7.2000, 12.0000, 10.0000, ACC
1.3000, 8.4500, 13.0000, 10.0000, ACC
1.4000, 9.8000, 14.0000, 10.0000, ACC
1.5000, 11.2500, 15.0000, 10.0000, ACC
1.6000, 12.8000, 16.0000, 10.0000, ACC
1.7000, 14.4500, 17.0000, 10.0000, ACC
1.8000, 16.2000, 18.0000, 0.0000, CON
1.9000, 18.0000, 18.0000, 0.0000, CON
2.0000, 19.8000, 18.0000, 0.0000, CON
2.1000, 21.6000, 18.0000, 0.0000, CON
2.2000, 23.4000, 18.0000, 0.0000, CON
2.3000, 25.2000, 18.0000, 0.0000, CON
2.4000, 27.0000, 18.0000, 0.0000, CON
2.5000, 28.8000, 18.0000, 0.0000, CON
2.6000, 30.6000, 18.0000, 0.0000, CON
2.7000, 32.4000, 18.0000, 0.0000, CON
2.8000, 34.2000, 18.0000, 0.0000, CON
2.9000, 36.0000, 18.0000, 0.0000, CON
3.0000, 37.8000, 18.0000, 0.0000, CON
3.1000, 39.6000, 18.0000, 0.0000, CON
3.2000, 41.4000, 18.0000, 0.0000, CON
3.3000, 43.2000, 18.0000, 0.0000, CON
3.4000, 45.0000, 18.0000, 0.0000, CON
3.5000, 46.8000, 18.0000, 0.0000, CON
3.6000, 48.6000, 18.0000, 0.0000, CON
3.7000, 50.4000, 18.0000, 0.0000, CON
3.8000, 52.2000, 18.0000, 0.0000, CON
3.9000, 54.0000, 18.0000, 0.0000, CON
4.0000, 55.8000, 18.0000, 0.0000, CON
4.1000, 57.6000, 18.0000, 0.0000, CON
4.2000, 59.4000, 18.0000, 0.0000, CON
4.3000, 61.2000, 18.0000, 0.0000, CON
4.4000, 63.0000, 18.0000, 0.0000, CON
4.5000, 64.8000, 18.0000, 0.0000, CON
4.6000, 66.6000, 18.0000, 0.0000, CON
4.7000, 68.4000, 18.0000, 0.0000, CON
4.8000, 70.2000, 18.0000, 0.0000, CON
4.9000, 72.0000, 18.0000, 0.0000, CON
5.0000, 73.8000, 18.0000, 0.0000, CON
5.1000, 75.6000, 18.0000, 0.0000, CON
5.2000, 77.4000, 18.0000, 0.0000, CON
5.3000, 79.2000, 18.0000, 0.0000, CON
5.4000, 81.0000, 18.0000, 0.0000, CON
5.5000, 82.8000, 18.0000, 0.0000, CON
5.6000, 84.6000, 18.0000, 0.0000, CON
5.7000, 86.4000, 18.0000, -20.0000, DEC
5.8000, 88.1000, 16.0000, -20.0000, DEC
5.9000, 89.6000, 14.0000, -20.0000, DEC
6.0000, 90.9000, 12.0000, -20.0000, DEC
6.1000, 92.0000, 10.0000, -20.0000, DEC
6.2000, 92.9000, 8.0000, -20.0000, DEC
6.3000, 93.6000, 6.0000, -20.0000, DEC
6.4000, 94.1000, 4.0000, -20.0000, DEC
6.5000, 94.4000, 2.0000, -20.0000, DEC
6.6000, 94.5000, 0.0000, -20.0000, DEC
